dark condition,0.301 lux.

fixed white paper target, covered/near-dark condition, 
approximate light intensity = 0.301 lux. The first 30 seconds were excluded from analysis because the raw readings were still stabilizing after the target was placed.

time_ms，red，ir
6741312,32303,25577
6741419,46980,51064
6741527,33027,32316
6741634,47731,42891
6741742,83724,81875
6741849,73978,84676
6741956,21471,27767
6742064,22172,29169
6742171,26459,36916
6742278,34596,50818
6742386,29869,42954
6742493,26172,36506
6742600,26281,36709
6742708,22320,29674
6742815,21165,27903
6742922,21347,28369
6743029,21202,28237
6743137,21436,28469
6743244,21293,28094
6743351,20978,27736
6743458,21411,28387
6743566,21336,28312
6743673,21344,28366
6743781,21427,28470
6743888,21341,28327
6743996,21293,28203
6744103,21214,28029
6744210,21083,27856
6744317,21662,28658
6744425,21453,28229
6744532,20822,27389
6744639,20675,27371
6744747,20840,27633
6744854,20997,27821
6744961,21016,27805
6745069,20906,27645
6745176,20626,27308
6745283,20248,26788
6745391,19840,26241
6745498,19593,25904
6745606,19179,25334
6745713,18973,25046
6745820,18868,24944
6745927,19026,25218
6746035,19265,25565
6746142,19361,25674
6746250,19552,25922
6746357,19636,26040
6746464,19718,26141
6746571,19900,26317
6746780,19068,25298
6746887,19071,25285
6746994,19086,25323
6747102,19044,25276
6747209,19049,25281
6747316,19013,25214
6747423,18905,25112
6747531,18929,25141
6747638,18963,25172
6747745,18825,25000
6747853,18741,24890
6747960,18725,24877
6748067,18802,24979
6748174,18837,25028
6748282,18837,25049
6748389,18837,25049
6748496,18823,25055
6748604,18822,25041
6748711,18826,25042
6748818,18794,25006
6748926,18826,25040
6749033,18836,25063
6749140,18794,25024
6749248,18800,25037
6749355,18815,25038
6749462,18742,24947
6749570,18663,24855
6749677,18549,24707
6749784,18523,24673
6749891,18457,24588
6749999,18394,24502
6750106,18315,24405
6750214,18261,24327
6750321,18251,24304
6750428,18240,24282
6750536,18238,24290
6750643,18217,24258
6750751,18151,24190
6750858,18104,24116
6750965,18093,24088
6751073,18115,24130
6751180,18146,24174
6751287,18172,24209
6751395,18193,24232
6751502,18187,24208
6751609,18206,24234
6751716,18223,24258
6751824,18296,24366
6751931,18394,24512
6752038,18466,24618
6752146,18438,24591
6752253,18415,24568
6752360,18374,24527
6752468,18378,24529
6752575,18416,24606
6752682,18456,24650
6752791,18455,24643
6752898,18367,24545
6753006,18292,24422
6753113,18288,24420
6753221,18252,24379
6753328,18222,24336
6753435,18187,24275
6753543,18141,24236
6753650,18098,24171
6753757,18007,24049
6753865,17979,23999
6753972,18052,24092
6754079,18158,24227
6754187,18241,24341
6754294,18229,24321
6754401,17985,24047
6754509,17789,23798
6754616,17775,23774
6754723,17841,23862
6754831,17806,23811
6754938,17593,23457
6755046,17586,23399
6755153,17463,23235
6755260,17340,23023
6755368,19863,26783
6755475,27043,38205
6755582,32918,47455
6755689,25138,34693
6755797,19923,26838
6755904,22477,31122
6756011,21811,29993
6756119,18429,24638
6756226,17611,23318
6756333,17679,23392
6756541,17137,22817
6756649,17121,22797
6756756,17115,22798
6756863,17121,22804
6756971,17124,22810
6757078,17131,22813
6757185,17143,22824
6757293,17134,22807
6757401,17131,22803
6757508,17128,22797
6757615,17136,22791
6757723,17145,22795
6757830,17124,22784
6757937,17123,22779
6758045,17118,22783
6758152,17092,22746
6758260,17047,22695
6758367,17032,22661
6758474,17024,22659
6758582,17028,22675
6758689,17038,22679
6758796,17035,22685
6758904,17043,22689
6759011,17049,22694
6759118,17028,22675
6759226,17029,22679
6759333,17047,22700
6759440,17073,22728
6759547,17157,22795
6759655,17141,22779
6759762,17110,22749
6759870,17094,22733
6759977,17081,22721
6760084,17049,22682
6760192,17050,22672
6760299,17072,22701
6760406,17077,22716
6760514,17080,22708
6760621,17081,22715
6760728,17090,22722
6760836,17082,22707
6760943,17090,22727
6761050,17096,22721
6761158,17106,22738
6761265,17096,22729
6761372,17084,22701
6761479,17035,22664
6761587,17012,22635
6761694,16981,22591
6761802,16957,22562
6761910,16950,22556
6762017,16930,22560
6762125,16944,22557
6762232,16942,22551
6762339,16923,22538
6762446,16905,22517
6762554,16921,22547
6762661,16969,22591
6762768,16953,22583
6762876,16959,22592
6762983,16954,22593
6763090,16918,22559
6763198,16912,22543
6763305,16891,22523
6763412,16866,22491
6763520,16839,22478
6763627,16841,22458
6763734,16845,22465
6763842,16828,22446
6763949,16805,22425
6764056,16777,22395
6764164,16692,22304
6764271,16664,22263
6764378,16668,22269
6764486,16674,22264
6764593,16667,22251
6764700,16634,22227
6764808,16616,22226
6764915,16601,22218
6765022,16611,22223
6765130,16625,22239
6765237,16622,22245
6765344,16625,22226
6765452,16620,22228
6765559,16614,22219
6765666,16605,22216
6765773,16592,22204
6765881,16576,22182
6765988,16558,22161
6766196,16572,22176
6766304,16565,22167
6766411,16551,22152
6766519,16552,22142
6766626,16546,22128
6766733,16525,22111
6766841,16489,22066
6766948,16460,22047
6767055,16471,22059
6767163,16480,22071
6767270,16493,22085
6767377,16510,22102
6767485,16517,22116
6767592,16534,22122
6767699,16533,22151
6767807,16564,22164
6767914,16568,22173
6768021,16602,22210
6768129,16617,22213
6768236,16611,22220
6768343,16641,22251
6768451,16691,22319
6768558,16729,22350
6768666,16735,22373
6768773,16746,22380
6768880,16770,22393
6768988,16754,22391
6769095,16739,22371
6769202,16697,22320
6769309,16654,22272
6769417,16647,22264
6769524,16653,22274
6769632,16664,22292
6769739,16665,22300
6769846,16673,22296
6769954,16667,22298
6770061,16668,22294
6770168,16667,22296
6770275,16670,22289
6770383,16669,22295
6770490,16675,22288
6770597,16667,22300
6770705,16676,22310
6770813,16686,22322
6770920,16696,22331
6771028,16695,22327
6771135,16700,22334
6771242,16694,22335
6771350,16694,22332
6771457,16688,22327
6771564,16688,22341
6771672,16703,22348
6771779,16693,22350
6771886,16689,22346
6771993,16680,22315
6772101,16660,22309
6772208,16626,22281
6772315,16614,22272
6772423,16608,22256
6772530,16596,22235
6772637,16599,22231
6772744,16590,22232
6772852,16590,22210
6772959,16580,22208
6773067,16564,22188
6773174,16555,22188
6773281,16540,22173
6773389,16528,22157
6773496,16535,22164
6773603,16546,22168
6773710,16553,22164
6773818,16564,22176
6773925,16585,22183
6774032,16576,22194
6774140,16590,22205
6774247,16596,22221
6774354,16616,22223
6774462,16607,22230
6774569,16605,22221
