
data:  flash light + thin A4 white paeper,4030 lux.

time_ms,red,ir
7649844,174881,182349
7649952,174905,182410
7650060,174976,182480
7650168,174887,182453
7650276,174916,182506
7650383,174900,182443
7650491,174919,182420
7650599,174876,182458
7650707,174884,182422
7650814,174948,182526
7650922,174928,182404
7651030,174999,182519
7651138,174922,182468
7651247,174921,182450
7651355,174936,182484
7651462,174884,182446
7651570,174890,182440
7651678,174906,182400
7651786,174914,182523
7651893,174844,182403
7652001,174918,182364
7652109,174888,182405
7652217,174995,182555
7652325,174978,182567
7652433,174926,182570
7652540,174982,182645
7652648,174852,182524
7652756,174950,182619
7652864,174956,182562
7652972,174899,182590
7653080,175018,182628
7653187,175043,182809
7653296,175024,182834
7653404,174954,182788
7653511,175139,182884
7653619,174971,182910
7653727,175031,182907
7653835,175049,182956
7653943,175063,182914
7654051,175275,183213
7654159,175328,183382
7654267,175347,183660
7654374,175288,183554
7654482,175465,184045
7654590,175398,183988
7654698,175354,183955
7654806,175714,184554
7654913,175490,184517
7655021,175677,184555
7655129,176012,185154
7655237,175792,185225
7655345,175723,185154
7655453,175760,185119
7655561,175607,184962
7655668,175792,185326
7655776,175650,184985
7655884,164938,177548
7655992,161555,176037
7656099,160688,175437
7656207,159732,174014
7656315,159056,173557
7656423,157762,172733
7656531,159160,173401
7656638,156020,171543
7656746,156385,171811
7656854,154365,170575
7656962,154453,170488
7657070,155209,170989
7657279,152441,168763
7657386,147198,165287
7657495,143776,162131
7657602,140339,158858
7657710,140264,158196
7657818,140078,157423
7657926,141928,158363
7658034,143083,158878
7658141,142995,158916
7658250,142868,158813
7658357,142771,158673
7658465,142750,158717
7658573,142662,158570
7658681,142424,158090
7658788,142446,158051
7658896,142397,158053
7659004,142283,158008
7659112,142263,157986
7659220,142241,157959
7659328,142184,157945
7659436,142246,157962
7659544,142182,157998
7659652,142144,157948
7659760,142100,157902
7659868,141958,157893
7659976,141976,157810
7660084,141963,157811
7660191,141742,157747
7660299,141904,157780
7660407,141848,157777
7660515,147199,161814
7660623,153801,167024
7660730,154415,167610
7660838,153998,167270
7660946,154530,167645
7661054,154612,167718
7661162,154459,167477
7661270,156727,169558
7661377,158583,171029
7661485,158947,171276
7661593,159995,172204
7661701,160980,173042
7661809,161733,173760
7661916,162590,174624
7662024,162113,174235
7662132,160184,172910
7662240,161948,174323
7662348,163036,175180
7662456,163921,175851
7662564,164444,176301
7662671,164448,176283
7662779,164402,176334
7662887,165358,177229
7662995,164714,176636
7663102,164512,176495
7663210,161462,173933
7663318,161021,173355
7663426,160280,172853
7663534,162242,174658
7663642,160692,173207
7663750,160162,172740
7663858,159893,172664
7663966,159383,172127
7664074,159387,172187
7664182,159603,172295
7664289,160287,172644
7664397,160062,172684
7664505,160108,172535
7664613,160041,172511
