finger temperature = 33.5°C，no-light/covered condition, 
approximately 60 seconds. The first 5–10 seconds may be excluded from analysis because the signal was still stabilizing after finger placement.

time_ms, red, ir
305511,113676,114190
305618,119314,123732
305726,124253,134300
305833,126141,138973
305941,126851,140773
306049,127067,141548
306156,127281,142097
306264,127529,142621
306371,127282,142260
306479,127153,142154
306586,127380,142852
306694,127424,143067
306801,127533,143243
306909,127603,143440
307016,127676,143725
307124,127340,143099
307232,127098,142610
307339,127405,143229
307447,127539,143545
307555,127467,143412
307662,127622,143706
307770,127815,144159
307877,127479,143567
307985,126962,142582
308093,127211,143148
308200,127389,143559
308308,127197,143205
308415,127380,143547
308523,127565,143886
308630,127329,143386
308738,126931,142562
308845,126957,142759
308953,126761,142384
309061,126597,142058
309168,125792,140253
309276,121957,130805
309384,122292,130976
309491,124077,134503
309599,125242,137050
309707,124906,136929
309814,124422,136499
309922,124228,136679
310030,124117,136846
310137,123825,136631
310245,123383,136000
310352,123754,136894
310460,124086,137648
310567,124051,137913
310675,124114,138372
310783,124239,138875
310890,124099,138848
310998,123156,136965
311105,123386,137516
311213,123705,138230
311320,123877,138541
311428,124053,139030
311536,124307,139641
311643,124560,140304
311751,124567,140495
311859,123899,139130
311966,124366,140317
312074,124750,141240
312181,124268,139974
312289,124121,139748
312396,124442,140484
312504,124693,141067
312611,124447,140447
312719,123713,138825
312826,123791,138975
312934,123894,139281
313042,123709,138890
313149,123784,139111
313257,123975,139606
313364,124167,140128
313472,123711,139286
313580,123178,138242
313688,123478,139063
313795,123540,139318
313903,123602,139534
314010,123909,140327
314118,124249,141094
314326,124731,143141
314434,124432,142679
314542,123557,140649
314649,123570,140747
314757,124496,142945
314864,124475,143328
314972,124387,142995
315080,124501,143379
315187,124561,143736
315295,124454,143606
315403,123817,142304
315510,123830,142667
315617,124006,143253
315725,123907,143038
315833,123932,142939
315940,124123,143360
316048,124134,143437
316156,124060,143373
316263,123571,142169
316371,123805,142832
316478,123997,143274
316586,123925,142976
316693,123921,142884
316801,124011,143104
316909,124101,143240
317016,123768,142247
317124,123243,140936
317231,123720,142088
317339,123992,142743
317446,123882,142480
