finger_temp_C < 32.0

Middle finger, cooled with cold water and dried before measurement.
The Terumo thermometer(Terumo ET-P265WZ（テルモ电子体温计 P265）)displayed "L", indicating that the finger temperature was below the thermometer's measurable lower limit of 32.0°C. 
No-light/covered condition, approximately 60 seconds.

time_ms, red, ir
896651,123650,130525
896759,124028,131565
896866,123840,132708
896974,123660,133699
897081,123654,134109
897189,123852,134710
897297,123923,135081
897404,123829,135304
897511,123917,135477
897619,124209,135958
897727,124216,136193
897834,124114,136199
897942,124082,136233
898049,124092,136371
898157,124257,136700
898264,124227,136613
898372,124069,136305
898480,123897,135999
898587,123649,135714
898695,123519,135569
898803,123614,135866
898910,123585,136038
899018,123530,136044
899125,123396,135738
899233,123280,135639
899340,123171,135643
899448,123202,135610
899556,123540,135904
899663,123645,135966
899771,123899,136186
899878,123490,135486
899986,123224,135259
900093,123292,135503
900201,123139,135433
900309,123272,135334
900416,123351,135340
900524,123654,134109
900631,123774,135088
900739,123912,135316
900847,123939,135601
900955,123852,135617
901062,123954,135801
901171,123926,135844
901279,123885,135850
901387,123714,135552
901494,123639,135591
901601,123617,135702
901709,123505,135545
901817,123406,135427
901924,123398,135477
902032,123417,135566
902139,123169,135063
902247,123140,135115
902355,123229,135383
902463,123192,135349
902570,123159,135385
902678,123280,135673
902785,123299,135800
902893,123181,135460
903001,123191,135521
903108,123286,135793
903216,123268,135807
903323,123235,135766
903431,123237,135848
903538,123242,135938
903646,123049,135530
903754,122903,135251
903861,122975,135463
903969,122978,135466
904076,122908,135411
904184,122972,135661
904292,123008,135790
904399,122978,135744
904507,122703,135089
904615,122700,135146
904722,122800,135492
904830,122789,135509
904938,122758,135432
905046,122831,135631
905154,122901,135854
905261,122770,135517
905369,122576,135072
905476,122698,135482
905685,122044,134812
905793,122144,135075
905900,122116,135067
906008,122075,135020
906115,122165,135257
906223,122184,135381
906331,122217,135483
906438,122185,135410
906545,121930,134822
906653,121988,135030
906761,122102,135468
906868,122076,135417
906976,121989,135276
907084,122030,135417
907192,122098,135557
907300,121984,135261
907407,121724,134676
907515,121839,134948
907622,121983,135324
907730,121888,135169
907837,121882,135219
907945,121961,135399
908053,121973,135414
908160,121745,134918
908268,121697,134796
908376,121858,135153
908483,121841,135154
908591,121773,135025
908698,121845,135192
908806,121848,135285
908913,121730,135007
909021,121625,134674
909128,121691,134984
909236,121729,135212
909344,121715,135068
909452,121752,135149
909560,121825,135321
909667,121682,135044
909774,121441,134437
909882,121501,134637
909990,121593,134882
910097,121524,134634
910205,121483,134623
910312,121497,134804
910420,121526,134853
910527,121267,134176
910635,121332,134299
910742,121432,134508
910850,121394,134361
910958,121333,134354
911065,121421,134598
911173,121528,134795
911280,121375,134331
911389,121195,133919
911496,121283,134163
911604,121307,134248
911711,121235,134113
911819,121270,134262
911926,121349,134465
912034,121340,134490
912142,121298,134417
912249,121114,133842
912357,121165,133901
912465,121167,134122
912572,121189,134227
912680,121197,134248
912787,121217,134330
912895,121246,134439
913002,121278,134576
913110,121172,134311
913217,120954,133827
913325,121085,134157
913433,121208,134492
913541,121145,134302
913648,121162,134393
913756,121250,134563
913864,121150,134391
913971,121039,134298
914079,120899,133911
914186,120986,134035
914294,121025,134200
914401,120977,134105
914509,121002,134178
914617,121011,134283
914724,121056,134434
914832,121031,134370
914939,120848,133894
915047,120921,134133
915155,121052,134359
915364,120699,133750
915471,120778,133977
915579,120837,134114
915686,120789,134131
915794,120635,133665
915902,120555,133519
916010,120630,133821
916117,120680,133959
916225,120665,133903
916332,120720,133961
916440,120627,133833
916547,120648,133997
916655,120545,133652
916763,120434,133324
916870,120506,133580
916978,120534,133689
917085,120508,133593
917193,120509,133683
917300,120533,133864
917408,120647,134126
917516,120379,133450
917623,120398,133520
917731,120635,134133
917838,120577,134029
917946,120525,134083
918054,120767,134677
918162,120974,135124
918270,120880,134836
918377,120435,133654
918485,120551,133863
918592,120656,134229
918700,120636,134211
918808,120700,134392
918915,120857,134747
919023,120901,134798
919130,120682,134190
919238,120549,133771
919345,120605,134009
919453,120582,134026
919561,120501,133848
919668,120585,134007
919776,120638,134180
919884,120578,134008
919992,120318,133286
920100,120339,133392
920207,120405,133658
920315,120372,133566
920422,120410,133623
920530,120471,133802
920638,120585,133951
920745,120352,133322
920853,120177,132950
920961,120278,133297
921068,120350,133415
921176,120302,133242
921284,120372,133430
921391,120454,133658
921499,120415,133559
921606,120120,132853
921714,120137,132982
921821,120241,133321
921929,120178,133230
922037,120229,133340
922145,120312,133577
922252,120416,133798
922360,120175,133213
922468,119896,132572
922575,120051,132936
922683,120190,133241
922791,120112,132973
922898,120137,133063
923006,120213,133300
923113,120205,133321
923221,119937,132640
923328,119980,132720
923436,120103,133064
923544,120063,132932
923652,120048,132975
923759,120146,133249
923867,120162,133352
923974,119898,132729
924082,119834,132530
924190,120012,132918
924298,120005,132976
924406,119964,132860
924513,120040,133031
924621,120109,133272
924728,120080,133289
924836,119905,132853
925045,120222,133986
925153,120221,133916
925260,120122,133792
925368,119974,133379
925475,120093,133604
925583,120133,133782
925691,120101,133696
925798,120143,133760
925906,120148,133880
926013,120172,133972
926121,119987,133413
926228,119966,133451
926336,120102,133846
926444,120077,133702
926551,120004,133558
926659,120045,133785
926767,120153,134094
926874,119990,133564
926982,119833,133181
927090,119975,133569
927197,120004,133642
927305,119918,133544
927413,120037,133879
927520,120154,134170
927628,120081,133970
927735,119795,133193
927843,119893,133424
927950,120015,133676
928058,119874,133417
928166,119897,133508
928273,120026,133821
928381,120058,133946
928489,119788,133176
928597,119767,133128
928705,119882,133454
928812,119858,133405
928920,119828,133354
929027,119920,133575
929135,119986,133779
929242,119920,133615
929350,119698,132946
929458,119726,133074
929565,119806,133370
929673,119803,133337
929780,119883,133449
929888,119915,133567
929996,119916,133669
930103,119747,133173
930211,119603,132808
930318,119685,133082
930426,119733,133264
930534,119692,133165
930641,119769,133327
930749,119913,133677
930857,120009,133818
930964,119651,132894
931072,119459,132757
931180,119737,133358
931288,119797,133371
931395,119616,133020
931503,119658,133186
