T3_warm_38p0C_no_light_trial1.csv: middle finger, warmed with warm water and dried before measurement. 
Initial finger temperature measured by the Terumo thermometer was approximately 40.0°C. No-light/covered condition, approximately 60 seconds.
time_ms, red, ir
2128041,1223,1215
2128147,2193,2546
2128254,41200,42670
2128362,27968,22970
2128469,9507,9044
2128576,20740,16220
2128683,22479,18176
2128790,16726,15600
2128898,49365,42347
2129005,89208,83535
2129112,107661,108832
2129220,117368,121343
2129328,117815,120912
2129436,121484,128152
2129544,123310,133682
2129652,123332,134536
2129759,123201,134779
2129867,122475,133186
2129975,117444,124244
2130083,89145,96429
2130190,22041,18902
2130298,5380,5408
2130404,3395,3631
2130511,3381,3665
2130618,3895,4116
2130725,3972,4204
2130832,4172,4396
2131040,3672,7945
2131146,3638,7874
2131253,3445,7571
2131360,3308,7309
2131467,3529,7653
2131574,3606,7795
2131680,3718,7926
2131787,3842,7873
2131895,7115,11279
2132002,16896,19267
2132109,8841,12615
2132216,9452,13051
2132323,6593,9398
2132430,4925,6759
2132537,5215,6246
2132644,7190,6998
2132751,7947,6870
2132858,6814,5801
2132964,7358,6173
2133071,9116,7465
2133178,9876,8005
2133285,10695,8546
2133392,11683,9196
2133499,11637,9155
2133606,11895,9411
2133713,12126,9598
2133820,11750,9353
2133927,11202,8922
2134034,10085,8112
2134141,10849,8684
2134249,11363,9123
2134356,11209,9110
2134463,12308,10149
2134570,12642,10515
2134678,12720,10579
2134785,12869,10681
2134893,12954,10736
2135000,13860,11385
2135107,14763,12111
2135214,14529,11931
2135322,14534,11821
2135429,14685,11775
2135536,17362,13285
2135644,28090,20422
2135751,63256,47827
2135858,105844,91697
2135966,115005,108904
2136074,120264,117098
2136182,123236,123196
2136289,122858,121745
2136397,124873,125480
2136505,124195,123908
2136613,127876,131311
2136721,129846,136387
2136829,131437,138904
2136937,132036,139762
2137045,131454,138762
2137153,130226,136809
2137260,130092,136806
2137368,129901,136516
2137476,129887,136703
2137584,130033,137236
2137692,130016,137343
2137799,130106,137606
2137907,130327,138262
2138015,130371,138619
2138123,130319,138607
2138231,129942,137818
2138338,129754,137501
2138447,129817,137819
2138555,129743,137795
2138663,129516,137599
2138771,129274,137461
2138879,129309,137517
2138987,129383,137533
2139095,129203,137048
2139202,129020,136587
2139310,129054,136709
2139418,129051,136717
2139526,128981,136607
2139633,128993,136668
2139741,129029,136740
2139849,129139,136964
2139957,128798,136226
2140065,128676,135982
2140173,128787,136327
2140280,128776,136364
2140388,128682,136232
2140497,128689,136273
2140705,127496,134154
2140813,127275,133675
2140921,127121,133330
2141029,127227,133610
2141137,127268,133751
2141244,127231,133700
2141352,127290,133869
2141460,127379,134080
2141568,127372,134142
2141676,127069,133429
2141784,126900,133070
2141891,126988,133276
2141999,126989,133311
2142107,126962,133274
2142215,127039,133465
2142323,127085,133634
2142430,127106,133717
2142538,126801,133035
2142646,126582,132552
2142754,126633,132693
2142862,126634,132705
2142970,126583,132606
2143078,126614,132697
2143186,126643,132810
2143293,126662,132873
2143401,126507,132575
2143509,126112,131685
2143617,126099,131675
2143725,126121,131742
2143832,126034,131558
2143940,126026,131585
2144048,126099,131742
2144156,126157,131911
2144264,126201,132036
2144372,125938,131485
2144479,125732,131029
2144587,125826,131230
2144696,125865,131320
2144804,125840,131322
2144912,125922,131549
2145019,126023,131797
2145127,126101,132010
2145235,126075,132000
2145343,125736,131246
2145451,125685,131176
2145559,125800,131430
2145666,125804,131459
2145774,125859,131652
2145882,125952,131923
2145990,125996,132060
2146098,126027,132167
2146205,125931,131960
2146313,125590,131193
2146421,125622,131246
2146529,125703,131451
2146636,125634,131308
2146745,125642,131282
2146853,125730,131470
2146961,125794,131656
2147069,125727,131551
2147176,125373,130735
2147284,125188,130351
2147392,125191,130397
2147500,125089,130179
2147608,125005,130015
2147716,124986,130001
2147823,124970,129970
2147931,124901,129841
2148039,124426,128747
2148147,124189,128249
2148255,124269,128432
2148363,124233,128379
2148470,124198,128349
2148578,124388,128821
2148687,124695,129513
2148795,124847,129881
2148903,124564,129245
2149011,124612,129385
2149118,124728,129687
2149226,124670,129576
2149334,124675,129560
2149442,124716,129650
2149550,124747,129732
2149658,124694,129637
2149765,124259,128636
2149873,124199,128414
2149981,124382,128819
2150089,124367,128843
2150298,123715,127520
2150406,123854,127843
2150513,124012,128195
2150621,124311,128894
2150729,124519,129376
2150838,124600,129585
2150946,124659,129726
2151054,124348,129007
2151161,124084,128373
2151269,124214,128673
2151377,124321,128905
2151485,124331,128934
2151593,124442,129206
2151701,124593,129564
2151809,124638,129731
2151916,124229,128803
2152024,124060,128422
2152132,124236,128813
2152240,124320,128995
2152348,124339,129076
2152456,124509,129459
2152564,124616,129766
2152671,124380,129348
2152779,124079,128680
2152888,124192,128944
2152996,124301,129167
2153103,124257,129052
2153211,124280,129126
2153319,124383,129347
2153427,124409,129432
2153534,124063,128647
2153642,123961,128440
2153750,124129,128855
2153858,124157,128934
2153966,124197,129039
2154073,124346,129395
2154181,124525,129852
2154289,124365,129478
2154397,124144,129001
2154505,124347,129444
2154613,124457,129706
2154721,124434,129678
2154828,124520,129873
2154937,124652,130207
2155044,124628,130154
2155152,124216,129238
2155260,124217,129225
2155368,124338,129531
2155476,124322,129504
2155584,124334,129536
2155692,124448,129808
2155800,124554,130075
2155907,124260,129430
2156015,123984,128838
2156123,124131,129167
2156231,124210,129336
2156339,124208,129374
2156447,124334,129653
2156555,124517,130059
2156662,124556,130138
2156770,124132,129125
2156878,124011,128888
2156986,124099,129093
2157094,124028,128944
2157202,123990,128880
2157310,124061,129016
2157417,124109,129154
2157525,123810,128455
2157633,123501,127774
2157741,123620,128078
2157849,123673,128229
2157956,123638,128199
2158064,123721,128403
2158172,123836,128682
2158280,123812,128633
2158388,123449,127752
2158496,123644,128226
2158604,123923,128854
2158711,123976,128976
2158819,124001,129049
2158928,124122,129313
2159036,124205,129517
2159144,123821,128631
2159252,123516,127955
2159359,123597,128146
2159467,123611,128183
2159575,123613,128236
2159683,123742,128489
2159892,126132,134004
2160000,125188,131750
2160108,124740,130664
2160215,124852,131007
2160323,124988,131327
2160431,125020,131344
2160539,125298,131946
2160647,126030,133478
2160755,126454,134312
2160863,126493,134409
2160971,125838,132832
2161079,126217,133789
2161187,126653,134920
2161296,126952,135627
2161403,127245,136357
2161511,127521,137023
2161619,127761,137415
2161727,127627,136940
2161835,127486,136565
2161943,127720,137300
2162051,127593,137079
2162158,127087,135829
2162266,127015,135668
2162374,127071,135854
2162482,127006,135766
2162590,126386,134226
2162698,126268,133979
2162806,126433,134400
2162914,126435,134422
2163021,126463,134490
2163130,127234,136387
2163237,127705,137543
2163345,127788,137785
2163454,126906,135566
2163561,126574,134830
2163669,126783,135437
2163777,126671,135185
2163885,126583,135068
2163993,127060,136210
2164101,127307,136936
2164209,127290,136965
2164317,126742,135367
2164425,126741,135201
2164533,127136,136266
2164641,127064,136234
2164748,126627,135498
2164856,126825,136132
2164964,127190,136958
2165073,127218,136879
2165181,126651,135392
2165289,126951,136646
2165397,127158,137179
2165505,127049,136765
2165613,126957,136481
2165721,127134,136868
2165829,127517,137820
2165936,127489,137614
2166044,127295,137038
2166152,127524,137764
2166260,127399,137477
2166368,127121,136690
2166476,127288,137101
2166584,127522,137782
